"timeMillisSpent","score"
7828,"-29hard/-1222026soft"
8086,"-29hard/-1220167soft"
8101,"-29hard/-1218087soft"
8470,"-28hard/-1224119soft"
8573,"-27hard/-1243931soft"
12152,"-26hard/-1347999soft"
14726,"-25hard/-1398325soft"
15146,"-24hard/-1408306soft"
15149,"-24hard/-1407336soft"
23901,"-24hard/-1391026soft"
26888,"-24hard/-1385273soft"
32370,"-24hard/-1327314soft"
61682,"-24hard/-1307497soft"
63972,"-23hard/-1374485soft"
76676,"-22hard/-1408937soft"
76679,"-22hard/-1408827soft"
80343,"-22hard/-1403405soft"
83292,"-22hard/-1401563soft"
83295,"-22hard/-1401294soft"
86588,"-21hard/-1400599soft"
98766,"-20hard/-1429180soft"
109978,"-20hard/-1420981soft"
115769,"-20hard/-1401012soft"
115774,"-20hard/-1399747soft"
116045,"-19hard/-1410782soft"
116815,"-19hard/-1409232soft"
119315,"-19hard/-1393747soft"
119319,"-19hard/-1390577soft"
130082,"-19hard/-1369438soft"
130343,"-19hard/-1364685soft"
130350,"-19hard/-1364684soft"
142325,"-19hard/-1324678soft"
142334,"-19hard/-1324669soft"
150440,"-18hard/-1395011soft"
151145,"-18hard/-1383308soft"
151187,"-17hard/-1385447soft"
170236,"-16hard/-1408605soft"
170284,"-16hard/-1403990soft"
177725,"-16hard/-1402299soft"
181784,"-16hard/-1401149soft"
188794,"-16hard/-1400740soft"
189326,"-16hard/-1391561soft"
189394,"-16hard/-1390415soft"
189397,"-16hard/-1389114soft"
192450,"-16hard/-1387445soft"
200539,"-16hard/-1379975soft"
202386,"-16hard/-1379616soft"
203393,"-16hard/-1377422soft"
203721,"-16hard/-1364608soft"
209008,"-16hard/-1363366soft"
210530,"-16hard/-1361834soft"
212665,"-16hard/-1355992soft"
224151,"-15hard/-1427553soft"
224154,"-15hard/-1427523soft"
226167,"-15hard/-1395787soft"
226173,"-15hard/-1394517soft"
233094,"-15hard/-1380301soft"
233098,"-15hard/-1377934soft"
233102,"-15hard/-1377853soft"
244376,"-15hard/-1354895soft"
247476,"-14hard/-1426926soft"
247485,"-14hard/-1425186soft"
247491,"-14hard/-1424517soft"
247816,"-14hard/-1423193soft"
247822,"-14hard/-1422663soft"
248827,"-14hard/-1410123soft"
248867,"-14hard/-1408272soft"
248876,"-14hard/-1407956soft"
252496,"-14hard/-1390584soft"
253627,"-14hard/-1387866soft"
256236,"-14hard/-1376916soft"
264370,"-13hard/-1448224soft"
265233,"-13hard/-1407450soft"
277540,"-13hard/-1389379soft"
277545,"-13hard/-1389319soft"
278812,"-13hard/-1384487soft"
278938,"-12hard/-1393530soft"
