"timeMillisSpent","usedMemory","maxMemory"
1009,62101896,4173332480
2000,42356888,4173332480
3004,85995560,4173332480
4007,112664656,4173332480
5012,44851944,4173332480
6004,172185384,4173332480
7005,70006976,4173332480
8006,166408496,4173332480
9003,207416872,4173332480
10199,248653456,4173332480
11007,51122864,4173332480
12007,115950392,4173332480
13026,153620072,4173332480
14003,76592488,4173332480
15002,349881048,4173332480
16000,247601128,4173332480
17000,160543880,4173332480
18004,47486392,4173332480
19005,324348120,4173332480
20001,216349840,4173332480
21000,108875584,4173332480
22004,370863144,4173332480
23009,259364144,4173332480
24000,55428776,4173332480
25002,284029040,4173332480
26003,188101672,4173332480
27002,303452160,4173332480
28000,117728360,4173332480
29000,244610664,4173332480
30000,91300872,4173332480
31007,221182752,4173332480
32004,372712208,4173332480
33000,242854664,4173332480
34009,105879704,4173332480
35012,369979496,4173332480
36003,244309816,4173332480
37001,107636024,4173332480
38003,344313512,4173332480
39020,209230240,4173332480
40013,98620936,4173332480
41004,369649496,4173332480
42021,279113704,4173332480
43000,145451520,4173332480
44000,396924368,4173332480
45000,290558056,4173332480
46003,131143744,4173332480
47005,278523496,4173332480
48019,164224104,4173332480
49016,407000168,4173332480
50001,254591064,4173332480
51003,135590488,4173332480
52000,391447824,4173332480
53003,278247864,4173332480
54002,169570032,4173332480
55006,67363432,4173332480
56049,374066584,4173332480
57004,239645192,4173332480
58033,155624648,4173332480
59026,408173088,4173332480
60018,305431704,4173332480
61001,179779984,4173332480
62000,72316752,4173332480
63003,341281048,4173332480
64004,154652048,4173332480
65000,390586400,4173332480
66002,210919880,4173332480
67013,401622776,4173332480
68021,165858616,4173332480
69005,358127632,4173332480
70015,182913960,4173332480
71020,270630952,4173332480
72014,128564176,4173332480
73002,354906000,4173332480
74006,234496680,4173332480
75014,136431976,4173332480
76002,392783432,4173332480
77002,261013224,4173332480
78012,135577120,4173332480
79014,391815272,4173332480
80007,267727512,4173332480
81004,156448872,4173332480
82002,413504064,4173332480
83014,311812024,4173332480
84005,205247080,4173332480
85000,105228728,4173332480
86017,362638856,4173332480
87004,216363752,4173332480
88000,84315440,4173332480
89006,342737296,4173332480
90013,239062032,4173332480
91026,140979304,4173332480
92007,203376232,4173332480
93002,79950216,4173332480
94007,344583736,4173332480
95000,230303640,4173332480
96000,128663048,4173332480
97013,393792104,4173332480
98009,283711304,4173332480
99000,175363072,4173332480
100019,90795320,4173332480
101047,378109752,4173332480
102001,241811216,4173332480
103004,138713400,4173332480
104003,400717928,4173332480
105000,289214456,4173332480
106008,185943064,4173332480
107011,65851304,4173332480
108011,327448448,4173332480
109028,227318904,4173332480
110000,103139944,4173332480
111011,370533480,4173332480
