"timeMillisSpent","score"
10576,"-30hard/-1216393soft"
11093,"-30hard/-1214533soft"
11137,"-30hard/-1213578soft"
11957,"-29hard/-1219256soft"
13726,"-28hard/-1326841soft"
15544,"-27hard/-1389156soft"
15548,"-27hard/-1389006soft"
15554,"-27hard/-1388162soft"
18220,"-26hard/-1420972soft"
18548,"-26hard/-1417071soft"
21731,"-26hard/-1414767soft"
27791,"-26hard/-1408182soft"
30587,"-25hard/-1413973soft"
34273,"-24hard/-1462845soft"
37944,"-24hard/-1396032soft"
37947,"-24hard/-1394402soft"
54768,"-24hard/-1389825soft"
64374,"-24hard/-1379808soft"
64409,"-24hard/-1376502soft"
66801,"-23hard/-1387027soft"
73443,"-22hard/-1433432soft"
79367,"-22hard/-1428706soft"
79517,"-22hard/-1427378soft"
80241,"-21hard/-1451776soft"
90255,"-21hard/-1407936soft"
90285,"-21hard/-1407776soft"
90290,"-21hard/-1403937soft"
90343,"-21hard/-1403259soft"
90363,"-21hard/-1400700soft"
90370,"-21hard/-1398175soft"
90373,"-21hard/-1398085soft"
93651,"-21hard/-1367992soft"
93844,"-21hard/-1365761soft"
100875,"-20hard/-1377229soft"
112241,"-20hard/-1353856soft"
