"timeMillisSpent","usedMemory","maxMemory"
1010,60206696,4173332480
2003,69548000,4173332480
3008,34417072,4173332480
4003,97183728,4173332480
5002,126558384,4173332480
6007,117217584,4173332480
7007,92720592,4173332480
8007,188087920,4173332480
9004,91868240,4173332480
10012,194366320,4173332480
11093,194480112,4173332480
12000,88741776,4173332480
13007,173646008,4173332480
14000,68712976,4173332480
15001,363790752,4173332480
16003,242974208,4173332480
17011,45221264,4173332480
18006,280063824,4173332480
19006,111865264,4173332480
20000,322173040,4173332480
21022,159221272,4173332480
22003,386631696,4173332480
23006,220593656,4173332480
24005,440122184,4173332480
25001,263456576,4173332480
26000,89412632,4173332480
27007,340716560,4173332480
28004,138505904,4173332480
29001,347036480,4173332480
30005,188570128,4173332480
31023,391621936,4173332480
32002,220199552,4173332480
33004,280497704,4173332480
34021,65557560,4173332480
35005,225474200,4173332480
36001,381197144,4173332480
37009,65957832,4173332480
38033,173080280,4173332480
39009,345053288,4173332480
40001,414112928,4173332480
41016,236548968,4173332480
42003,351740240,4173332480
43000,172758688,4173332480
44004,415750304,4173332480
45011,227327840,4173332480
46000,45793648,4173332480
47030,296942432,4173332480
48000,102296072,4173332480
49006,312288200,4173332480
50014,150117944,4173332480
51005,391818816,4173332480
52007,222004240,4173332480
53011,47581544,4173332480
54004,267080568,4173332480
55000,83660304,4173332480
56013,284471312,4173332480
57001,102703784,4173332480
58005,345982648,4173332480
59012,122491944,4173332480
60003,353352672,4173332480
61015,198177000,4173332480
62003,406173080,4173332480
63000,244342176,4173332480
64019,107526360,4173332480
65009,340839728,4173332480
66001,165784512,4173332480
67011,403784168,4173332480
68001,234985256,4173332480
69006,91497936,4173332480
70005,328485392,4173332480
71004,157094688,4173332480
72006,379777184,4173332480
73004,215007880,4173332480
74000,435376448,4173332480
75004,295267344,4173332480
76006,65635744,4173332480
77004,259265800,4173332480
78001,108288008,4173332480
79000,246188656,4173332480
80005,365060112,4173332480
81004,94010296,4173332480
82003,266509864,4173332480
83005,342541760,4173332480
84012,176003528,4173332480
85007,355321056,4173332480
86001,180754936,4173332480
87005,425608536,4173332480
88005,257851752,4173332480
89003,65977400,4173332480
90000,304012608,4173332480
91025,131543008,4173332480
92053,358570584,4173332480
93000,125808264,4173332480
94011,367888400,4173332480
95001,186555920,4173332480
96001,401505952,4173332480
97005,227976152,4173332480
98000,438238736,4173332480
99017,274156048,4173332480
100006,107956552,4173332480
101008,349159440,4173332480
102009,199211856,4173332480
103010,438821296,4173332480
104002,255881744,4173332480
105004,67153424,4173332480
106020,303616016,4173332480
107001,118542184,4173332480
108001,347688464,4173332480
109004,194761632,4173332480
110000,359918920,4173332480
111002,144934648,4173332480
112026,392376208,4173332480
113005,49504200,4173332480
114006,141987168,4173332480
115003,319354400,4173332480
116027,114076688,4173332480
117010,194282808,4173332480
118007,388794592,4173332480
119015,107815952,4173332480
120016,263163096,4173332480
121023,98934288,4173332480
122002,321742032,4173332480
123000,123597840,4173332480
124038,359116000,4173332480
125001,177701368,4173332480
126003,414744592,4173332480
127006,224441360,4173332480
128004,59396480,4173332480
129004,303112720,4173332480
130035,174121952,4173332480
131008,379302312,4173332480
132023,228181008,4173332480
133012,47022136,4173332480
134000,281682448,4173332480
135015,86364976,4173332480
136038,349864464,4173332480
137007,170046992,4173332480
138019,403393472,4173332480
139000,223053744,4173332480
140016,391939600,4173332480
141009,169597232,4173332480
142009,408151448,4173332480
