"timeMillisSpent","score"
572877,"-10hard/-1389866soft"
572898,"-10hard/-1389631soft"
576370,"-10hard/-1389597soft"
576375,"-10hard/-1387737soft"
576454,"-10hard/-1386811soft"
576479,"-10hard/-1386751soft"
576497,"-10hard/-1386241soft"
576503,"-10hard/-1386011soft"
576509,"-10hard/-1385591soft"
578381,"-10hard/-1384005soft"
578390,"-10hard/-1382260soft"
578400,"-10hard/-1382031soft"
578421,"-10hard/-1376721soft"
578442,"-10hard/-1375779soft"
578454,"-10hard/-1375254soft"
578492,"-10hard/-1375198soft"
581923,"-9hard/-1388154soft"
581930,"-9hard/-1388115soft"
581938,"-9hard/-1386025soft"
581966,"-9hard/-1385545soft"
587498,"-9hard/-1300584soft"
587558,"-9hard/-1300219soft"
587575,"-9hard/-1300127soft"
593076,"-9hard/-1276976soft"
