"timeMillisSpent","score"
9202,"-31hard/-1221399soft"
9604,"-30hard/-1220179soft"
11785,"-29hard/-1314422soft"
14230,"-28hard/-1417786soft"
16624,"-28hard/-1416549soft"
16661,"-28hard/-1415454soft"
17083,"-27hard/-1439456soft"
17350,"-27hard/-1429636soft"
17675,"-27hard/-1418342soft"
20118,"-27hard/-1408610soft"
20122,"-27hard/-1407170soft"
24273,"-27hard/-1405835soft"
30784,"-26hard/-1413138soft"
48282,"-26hard/-1410877soft"
48289,"-26hard/-1409097soft"
48822,"-26hard/-1389749soft"
56149,"-25hard/-1392272soft"
70117,"-25hard/-1380662soft"
73904,"-25hard/-1364574soft"
84824,"-24hard/-1400980soft"
89593,"-23hard/-1438411soft"
96505,"-23hard/-1419909soft"
98970,"-23hard/-1377608soft"
109955,"-23hard/-1366882soft"
118956,"-23hard/-1351647soft"
122800,"-22hard/-1413672soft"
122805,"-22hard/-1412392soft"
122814,"-22hard/-1412382soft"
122827,"-22hard/-1412202soft"
122830,"-22hard/-1410232soft"
122835,"-22hard/-1409705soft"
122889,"-22hard/-1409437soft"
122893,"-22hard/-1407767soft"
122912,"-22hard/-1407517soft"
122918,"-22hard/-1406997soft"
126655,"-22hard/-1404041soft"
126687,"-22hard/-1403291soft"
133467,"-22hard/-1383549soft"
138136,"-22hard/-1383427soft"
138448,"-22hard/-1378470soft"
140747,"-22hard/-1371162soft"
140793,"-22hard/-1369886soft"
140840,"-22hard/-1368360soft"
140844,"-22hard/-1368180soft"
144171,"-22hard/-1359814soft"
144174,"-22hard/-1359575soft"
152078,"-22hard/-1357797soft"
155202,"-22hard/-1348276soft"
168197,"-22hard/-1326794soft"
169309,"-22hard/-1315599soft"
174955,"-21hard/-1356626soft"
178435,"-20hard/-1381991soft"
204459,"-20hard/-1359750soft"
207760,"-19hard/-1384583soft"
211825,"-18hard/-1395416soft"
243863,"-18hard/-1374029soft"
247583,"-18hard/-1335662soft"
264134,"-17hard/-1432936soft"
266953,"-17hard/-1399205soft"
266955,"-17hard/-1398920soft"
269939,"-17hard/-1390143soft"
277496,"-16hard/-1421630soft"
284785,"-16hard/-1416344soft"
288853,"-16hard/-1416303soft"
288950,"-16hard/-1416079soft"
290170,"-16hard/-1415769soft"
290946,"-15hard/-1425341soft"
293138,"-15hard/-1412340soft"
298697,"-15hard/-1405718soft"
298980,"-15hard/-1401727soft"
298986,"-15hard/-1400207soft"
304866,"-15hard/-1396769soft"
315496,"-15hard/-1393897soft"
322414,"-15hard/-1392267soft"
322421,"-15hard/-1391317soft"
322453,"-15hard/-1391187soft"
322558,"-15hard/-1389989soft"
322565,"-15hard/-1388369soft"
322612,"-15hard/-1388099soft"
322651,"-15hard/-1387986soft"
322660,"-15hard/-1387706soft"
322796,"-15hard/-1386951soft"
322806,"-15hard/-1384926soft"
322867,"-15hard/-1384296soft"
322870,"-15hard/-1384246soft"
326105,"-15hard/-1383025soft"
326133,"-15hard/-1382894soft"
326409,"-15hard/-1382776soft"
326412,"-15hard/-1382617soft"
326415,"-15hard/-1381607soft"
326419,"-15hard/-1380604soft"
326432,"-15hard/-1380424soft"
326439,"-15hard/-1379175soft"
327349,"-14hard/-1398262soft"
331682,"-14hard/-1388431soft"
331684,"-14hard/-1388106soft"
337578,"-14hard/-1382924soft"
337584,"-14hard/-1382142soft"
348224,"-14hard/-1369451soft"
348227,"-14hard/-1369376soft"
348252,"-14hard/-1369021soft"
348255,"-14hard/-1368841soft"
348288,"-14hard/-1367460soft"
348308,"-14hard/-1366732soft"
348311,"-14hard/-1366502soft"
353318,"-14hard/-1360671soft"
353715,"-14hard/-1359392soft"
359854,"-14hard/-1352883soft"
361227,"-14hard/-1344471soft"
361235,"-14hard/-1343291soft"
373465,"-14hard/-1339368soft"
373468,"-14hard/-1337308soft"
382741,"-14hard/-1333112soft"
401842,"-14hard/-1324814soft"
411001,"-14hard/-1321419soft"
430086,"-14hard/-1313302soft"
434604,"-14hard/-1312595soft"
439313,"-14hard/-1312460soft"
439339,"-14hard/-1311972soft"
439357,"-14hard/-1310662soft"
451434,"-14hard/-1307689soft"
451440,"-14hard/-1307665soft"
451444,"-14hard/-1307105soft"
453025,"-14hard/-1306879soft"
453029,"-14hard/-1306379soft"
457139,"-13hard/-1399414soft"
457258,"-13hard/-1398936soft"
457262,"-13hard/-1397426soft"
457290,"-13hard/-1396080soft"
457300,"-13hard/-1395585soft"
457313,"-13hard/-1393596soft"
457448,"-13hard/-1393101soft"
457483,"-13hard/-1393092soft"
457516,"-13hard/-1389478soft"
457553,"-13hard/-1388242soft"
457560,"-13hard/-1386533soft"
457578,"-13hard/-1386453soft"
457584,"-13hard/-1386333soft"
457607,"-13hard/-1385663soft"
457621,"-13hard/-1384943soft"
457674,"-13hard/-1384472soft"
457760,"-13hard/-1383912soft"
457771,"-13hard/-1383877soft"
457840,"-12hard/-1398604soft"
511869,"-12hard/-1350388soft"
520762,"-12hard/-1347333soft"
520766,"-12hard/-1347273soft"
528754,"-11hard/-1379492soft"
528761,"-11hard/-1379272soft"
536385,"-11hard/-1372814soft"
536393,"-11hard/-1372755soft"
548350,"-11hard/-1367266soft"
548390,"-11hard/-1366362soft"
548392,"-11hard/-1365667soft"
558886,"-10hard/-1418216soft"
559440,"-10hard/-1399610soft"
567878,"-10hard/-1399076soft"
568473,"-10hard/-1396964soft"
568552,"-10hard/-1396645soft"
568585,"-10hard/-1395628soft"
568621,"-10hard/-1395508soft"
568631,"-10hard/-1395245soft"
572442,"-10hard/-1393037soft"
572783,"-10hard/-1392280soft"
572813,"-10hard/-1390820soft"
572816,"-10hard/-1390689soft"
